id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
23,San Fernando,Carlos Tinant,Intendente,PROGRESISTAS,,,,,,,142,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
5,Lanús,Gabriel De Masi,Intendente,UNA,CONCEJAL,De Narvaez / Cariglino,UNIÓN CELESTE Y BLANCA,Sola,,,24,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:25.3711+00
5,Lanús,Maria La Rosa,Intendente,PROGRESISTAS,,,,,,,25,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:25.3711+00
7,General San Martín,Gabriel Katopodis,Intendente,FPV,INTENDENTE,,PJ,Dominguez,"Int desde 2011, venció a Daniel Ivoskus (que se presentó por el FPV) con 37%. Estuvo en el FR y volvió. ",,31,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
7,General San Martín,Alejandro Phatouros,Intendente,FPV,CONCEJAL,,PERONISMO 2020,Dominguez,,,32,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
7,General San Martín,Hernán Letcher,Intendente,FPV,CONCEJAL,,LA CAMPORA,,"Fue precandidato a int en las PASO 2011. Lleva a Héctor Lanza, hombre de Alicia K como 1° concejal. ",,33,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
7,General San Martín,Ricardo Ivoskus,Intendente,CAMBIEMOS,PRIVADA,,UCR,Vidal,"Fue int tres períodos consecutivos, 99 - 03 - 07. En 2011 el candidato fue su hijo Daniel por el FPV. Lleva primera en la lista a Verónica Dalmon, ex secretaria de  Daniel. ",,34,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
7,General San Martín,Carlos Brown,Intendente,UNA,DIP NAC,Duhalde,,,"Fue Ministro de Duhalde en la PBA e int de SM entre el87 y el 91. Lleva primera en la lista a Verónica Dalmon, ex secretaria de   ",,35,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
7,General San Martín,Germán Svagelj,Intendente,PROGRESISTAS,,,,,,,36,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:55.888437+00
10,Tres De Febrero,G. Neirotti,Intendente,PROGRESISTAS,,,,,,,55,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Carlos Arena,Intendente,UNA,,De Narvaez,FR,Sola,Tiene el apoyo del partido UNIR de Alberto Asseff,,91,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
8,Moreno,Mariano West,Intendente,FPV,INTENDENTE,,,,"Gana la int en el 95, reelegido en el 99. En 2002 es Ministro de la PBA, en 2005 dip nac por el FPV y en 2011 renuncia a la banca para volver a la intendencia. ",,37,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
8,Moreno,Walter Festa,Intendente,FPV,CONCEJAL,Ottavis,PERONISMO KIRCHNERISTA,,Ex aliado de West,,38,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
8,Moreno,Leonardo Cóppola,Intendente,CAMBIEMOS,CONCEJAL,Jorge Macri,PRO,Vidal,Entró por el FR pero conformó el monobloque PRO. Integró el gabintete de Macri en VL. ,,39,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
8,Moreno,Damian Contreras,Intendente,UNA,CONCEJAL,,,,En el 95 compitió por la intendencia contraWest. Algunos loo señalan como hombre suyo. ,,40,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
8,Moreno,Anibal Asseff,Intendente,UNA,,,,Sola,"Ex Acción Católica y UCEDE, en 2009 fue elegido Sen Prov por UNION PRO. Hijo de Julio Anibal, ex intendente 80 - 83 y 91 - 95. ",,41,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
