id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
23,San Fernando,Matias Molle,Intendente,FPV,DIR DEL RENAR,,LA CAMPORA,,"Yerno de Amieiro. Lleva primero en la lista a Carlos ""Chapa"" Retegui, ex DT de Las Leonas y actual de Los Leones. ",,136,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
23,San Fernando,Osvaldo Amieiro,Intendente,FPV,CONCEJAL,,PJ,,Fue intendente desde 1995 hasta 2009 cunado fue Mn de Gob de Solá. Andreotti asumió como interino. ,,137,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
23,San Fernando,Gustavo Aguilera,Intendente,FPV,PRESIDENTE PJ SF,Scioli,PJ,,,,138,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
23,San Fernando,Alex Campbell,Intendente,CAMBIEMOS,CONCEJAL,,PRO,Vidal,En 2013 compitió con boleta corta y sacó el 12%. Se consideró una muy buena elección. ,,139,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
23,San Fernando,Luis Andreotti,Intendente,UNA,INTENDENTE,Massa,FR,Sola,"Asumió como interino en 2009 y en 2011, con apoyo de Massa ganó por derecho propio con el 43,97% contra el 32,69% de Amieiro.  ",,140,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
23,San Fernando,Claudio Servetto,Intendente,PROGRESISTAS,,,,,,,141,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Alejandro Granados,Intendente,FPV,MIN SEG PBA,,,Dominguez,Int desde el 95 cuando se creó el partido. En 2011 ganó con el 66%. En 2013 pidió licencia. Ahora lleva a su hijo como 2° concejal. ,,143,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Rubén Barbani,Intendente,CAMBIEMOS,VETERINARIO,,PRO,Vidal,En 2011 fue candidato a int por el FP de Duhalde.,,144,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Leonor Granados,Intendente,UNA,SEN PROV,Massa,FR,Sola,"Asumió por el FPV. Es hna de Alejandro. Está muy enfrentada con dulce, su mujer. ",,145,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Roberto Mosto,Intendente,UNA,,Caamaño,FR,Sola,Fue Sec de Gob de Granados. En 2011 encabezó la lista de conc del PJ disidente pero no alcanzaqron ni el 10%. ,,146,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Juan J. Trámite,Intendente,UNA,,,,,,,147,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,Selva Herbón,Intendente,PROGRESISTAS,,,,,,,148,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
24,Ezeiza,J. C. Barrionuevo,Intendente,PROGRESISTAS,,,,,,,149,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
14,Morón,Hernan Sabbatella,Intendente,FPV,CONCEJAL,Sabbatella,NUEVO ENCUENTRO,Fernandez,"Presidente del HCD, lleva 3° en la lista a Diego Spina, presidente de Dep Morón. ",,78,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Pablo Solito,Intendente,FPV,PRESIDENTE PJ MORON,,,Dominguez,,,80,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Ramiro Tagliaferro,Intendente,CAMBIEMOS,CONCEJAL,Vidal,PRO,Vidal,"Marido de Vidal, entró por el FR, ex dip prov.",,81,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Carlos Darío Ulloa,Intendente,CAMBIEMOS,,Alfonsín,UCR,Vidal,Armó lista radical pura,,82,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Martin Marinucci,Intendente,UNA,CONCEJAL,,,Sola,En 2011 fue candidato a intendente por el FPV. Perdió contra Ghi. ,,83,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Mario Mazzitelli,Intendente,PROGRESISTAS,,,,,,,84,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Fabio Martinez,Intendente,PROGRESISTAS,,,,,,,85,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
14,Morón,Mauro Lopez,Intendente,PROGRESISTAS,,,,,,,86,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
19,Esteban Echeverría,Ciarletta Harguindeguy,Intendente,PROGRESISTAS,,,,,,,119,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
