cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
GENERAL LAVALLE,GENERAL LAVALLE,06336,0101000020E6100000944D6352BB804CC048EEFFCF805742C0,36,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CASTELLI,CASTELLI,06168,0101000020E6100000BDE95EE656D34CC02CF2114F7B0242C0,37,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
VERONICA,PUNTA INDIO,06655,0101000020E6100000AAB4818431AC4CC03753001080BA41C0,38,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PEHUAJO,PEHUAJO,06609,0101000020E6100000EEDFF97A60FE4EC090A9FFCF68F241C0,39,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
TRENQUE LAUQUEN,TRENQUE LAUQUEN,06826,0101000020E6100000D3FA553D1B524FC0525DFF2FD00B42C0,40,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL BELGRANO,GENERAL BELGRANO,06301,0101000020E6100000EE06A286DF4D4DC0283500905DED41C0,41,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LAS FLORES,LAS FLORES,06455,0101000020E610000003D0D9BEB98F4DC03CC9FFDF560442C0,42,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BAHIA BLANCA,BAHIA BLANCA,06056,0101000020E6100000CC976528FC174FC09C2EFFDF404B43C0,43,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CORONEL DORREGO,CORONEL DORREGO,06189,0101000020E6100000321E954296934EC0C8620080DA5143C0,44,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PIGÜE,SAAVEDRA,06700,0101000020E610000062137ABF10364FC0088CFF7F7FDC42C0,45,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ADROGUE,ALMIRANTE BROWN,06028,0101000020E61000003E8B324215304DC06CA60020C06A41C0,46,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN MIGUEL DEL MONTE,MONTE,06547,0101000020E61000001ABCD42932604DC0A0170040F4BF41C0,47,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ROQUE PEREZ,ROQUE PEREZ,06693,0101000020E61000004B442A83D19C4DC0FC6C0010B9C241C0,48,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL ALVEAR,GENERAL ALVEAR,06287,0101000020E610000088EF213B5D0D4EC088000030390542C0,49,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
AYACUCHO,AYACUCHO,06042,0101000020E61000002A7D91C0EA4B4DC0047C0050FA7C42C0,50,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
